	URL
207	https://rever.vn/mua/can-ho-vinhomes-central-park-3-phong-ngu-tang-cao-l5-nha-trong
208	https://rever.vn/mua/can-ho-sunrise-riverside-ban-cong-huong-tay-day-du-noi-that
209	https://rever.vn/mua/nha-pho-hem-xe-hoi-so-hong-rieng-ban-giao-day-du-noi-that
210	https://rever.vn/mua/can-ho-sunrise-city-view-noi-that-co-ban-view-thanh-pho-1
211	https://rever.vn/mua/mls-nha-pho-huong-tay-nam-dien-tich-dat-45-6m2-hien-nha-con-moi
212	https://rever.vn/mua/can-ho-starlight-riverside-tang-thap-noi-that-day-du
213	https://rever.vn/mua/ban-can-ho-q7-saigon-riverside-2-phong-ngu-thuoc-tang-thap-thap-mercury-dien-tich-66-66m2
214	https://rever.vn/mua/can-ho-vinhomes-central-park-2-phong-ngu-tang-trung-l5-khong-noi-that
215	https://rever.vn/mua/nha-pho-huong-dong-hem-truoc-nha-3-5m-khu-dan-cu-an-ninh
216	https://rever.vn/mua/can-ho-tang-cao-vinhomes-grand-park-view-song-cung-thanh-pho
217	https://rever.vn/mua/mls-nha-pho-huong-dong-tinh-lo-10-binh-tan-phap-ly-ro-rang
218	https://rever.vn/mua/can-ho-saigon-south-residence-tang-10-cua-chinh-huong-dong-mat-me
219	https://rever.vn/mua/mls-nha-pho-hem-xe-hoi-huong-nam-dien-tich-54m2
220	https://rever.vn/mua/ban-can-ho-chung-cu-phu-my-tang-8-day-du-noi-that-can-goc-view-thoang
221	https://rever.vn/mua/can-ho-the-gold-view-3-phong-ngu-tang-thap-thap-b-noi-that-co-ban
222	https://rever.vn/mua/can-ho-vinhomes-grand-park-noi-that-co-ban-view-thanh-pho
223	https://rever.vn/mua/can-ho-vinhomes-grand-park-ban-cong-huong-nam-view-noi-khu
224	https://rever.vn/mua/ban-can-ho-46m2-huong-dong-vinhomes-grand-park
225	https://rever.vn/mua/can-ho-tang-07-the-sun-avenue-view-thoang-mat-noi-that-day-du
226	https://rever.vn/mua/ban-nha-4-tang-duong-hoang-hoa-tham-phu-nhuan-tho-cu-42m2-cach-cho-cay-queo-150m
227	https://rever.vn/mua/can-ho-saigon-south-residences-tang-9-khong-co-noi-that-2-phong-ngu
228	https://rever.vn/mua/can-ho-moonlight-park-view-tang-trung-ban-cong-huong-bac
229	https://rever.vn/mua/can-ho-richstar-huong-tay-nam-view-thanh-pho-sam-uat
